% Model,Cyl_axis_oriented_magnetic_field.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 29 2025, 16:34"
% Table,Table 2 - Line Integration 2
% H0 (A/m),Eigenfrequency (GHz),o (1),e (1)
122600,8.04335180041902,-0.001727160772589509,-0.3608334366391802
122600,8.6351932587701-8.704076321489969E-15i,-0.2778845769563458,0.0027556304784478293
122600,8.712832225482886,0.518830581042153,-0.0023358338114549205
122600,10.004961561521153+6.605898177516887E-15i,-0.0018793620778815492,-0.00884102727021173
122600,11.078604841111494-1.3322636633351688E-12i,-0.0042808204821320585,-0.6294566483277473
122600,11.181223505667168-4.919394120781382E-13i,0.0029665472628199506,0.6844214556628324
129200,6.247934499550128+2.7757697217057234E-15i,0.003176116574640676,0.49672443288928786
129200,6.747769106536253,-0.2905765422520325,-0.006829172180805861
129200,8.062727158471764+7.503462107436833E-15i,0.0023336110970895905,0.38522005922347213
129200,8.275525292772782-3.867118570046103E-15i,-0.003428279295251338,-0.6275625532000881
129200,8.87047182910801+4.064780129871342E-15i,0.7008909087065364,0.003581989755506167
129200,8.944979745171548-8.862684239028902E-15i,-0.23363873982648822,0.005651590971760235
129200,10.237141843716222-4.47424759233268E-15i,-0.0017315392047150707,-0.008180314708762485
129200,11.314115539477982+1.964303211845081E-14i,-0.0033951198471223122,-0.34397368721107524
129200,11.413428197892726-2.6526072513189573E-14i,0.0026095967915779903,0.6691293034222319
135800,6.480086738863851-2.7883540570059334E-15i,0.003133942227569076,0.48923696692999624
135800,6.9799533667605145+2.7741220043956354E-15i,-0.5023801980346722,-0.005549908185512476
135800,8.301951149778338+4.928878090855054E-15i,3.240398521468156E-4,0.04273984109585661
135800,8.507697653325714+7.014645230193669E-15i,-0.00284136511359707,-0.5389725260867547
135800,9.105589965638709+4.988551327224658E-15i,-0.6096211208073679,-0.0012000954771107571
135800,9.177127222131212+3.000707186962079E-15i,0.15349523602889292,-0.006281997286687628
135800,10.469320850505417-5.9468022593408695E-15i,-0.0026022633685522556,-0.012071206059528512
135800,11.549504798774255+2.7598829473716764E-14i,-0.002624079365707615,-0.17738426706079963
135800,11.645631188204703-1.849985466551302E-14i,0.0030209988141559523,0.6862897580399304
142400,6.712238537275811+9.06487527322905E-16i,0.0031515723364072025,0.4928586104083486
142400,7.212135732547544-2.7510200313395476E-15i,-0.2910577974437465,-0.0067671708723871715
142400,8.540785022106665,0.0028880640958487925,0.48261950781980395
142400,8.73986894551434-6.025195323734822E-15i,-0.0027584067679027693,-0.5260373265743846
142400,9.340559750637382-3.674492067633921E-15i,0.7056729979882358,0.0038928216371907375
142400,9.409274663268777+4.896276516251625E-15i,0.6433215469708489,0.006087867364365524
142400,10.701498647575189-5.707785352514062E-15i,-0.0010810042738941229,-0.005270514626206219
142400,11.784779128947118+2.0297528119447585E-14i,-0.0032951516067336265,-0.32121157713684184
142400,11.87783254730294+1.6960927096240716E-14i,0.0028293606176502005,0.6786765549252691
149000,6.944389927441057+4.0935470232072436E-15i,0.003210571036042818,0.5041967481660791
149000,7.444316333902402,-0.5747210360790024,-0.004744445330374198
149000,8.77926058026683,0.0013830976383706693,0.22510248702406174
149000,8.972039228121693-1.2930728207740915E-15i,-0.003164682046360109,-0.588401362688414
149000,9.575392074406027-4.680759940067917E-15i,-0.7008224711910297,-0.0035230454712910394
149000,9.641422075293491+8.441653936459913E-15i,-0.6796111563416403,-0.0013739051571532242
