% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 13:21"
% Table,Table 3 - mXY
% scale,Eigenfrequency (GHz),py (1),N (1)
2.2,4.894976531616075+6.917623470935605E-7i,-4.5315879224237365,-11.895655560733474
2.2,5.3907405407277-7.665332026583432E-7i,-44.15487725486169,-12.12908765106841
2.2,5.853122102082121+1.9159233267606808E-6i,-0.5425293993898749,-12.310651081191386
2.2,6.543845587115392+5.156942532291072E-7i,-0.9055973377624391,-12.04471382316416
2.2,7.112297363307434+4.894148690210305E-6i,-48.0029165848678,-12.130861766539157
2.2,7.345309536783986+4.411396285156063E-6i,-50.2390050931085,-12.63737260805813
2.4000000000000004,3.7450346669242367-2.2664498163817794E-9i,-47.07738262056336,-11.847431008844632
2.4000000000000004,4.202142847022484+5.860723181485056E-6i,-48.43523070328185,-12.20893282893822
2.4000000000000004,4.7088160862978805+6.872983846858014E-7i,-6.240994523935323,-12.237838112207495
2.4000000000000004,5.1699438202964805+2.584309031781682E-6i,-41.80798378685972,-11.899272483772723
2.4000000000000004,5.451511945252567+2.075447919536409E-6i,-0.6673427876863183,-12.366479743915097
2.4000000000000004,6.140989686098041+1.5642696610168021E-6i,-1.8276611498942774,-12.208006012386884
2.4000000000000004,6.453218052589637-1.5585249326509592E-6i,-45.861031078266706,-11.776383202823766
2.4000000000000004,6.7109752636348805-2.021290012323597E-6i,-49.07156179591879,-12.363167262717932
2.6,3.74365371724014+1.806938231101213E-7i,-46.010068459677015,-11.590263670914661
2.6,4.021051887848972+5.396465032077713E-6i,-48.02859926096588,-12.12209136541633
2.6,4.556476694482021-4.084273787481706E-7i,-7.60335113928251,-11.97389468918033
2.6,4.993923121640702-4.062281560820503E-6i,-39.65298579804066,-11.703467060160433
2.6,5.135943552280359+4.968564258934502E-6i,-0.7897086555900216,-12.201177559231184
2.6,5.806878761984152-7.184502943751549E-6i,-6.99633410322856,-11.791643929019378
2.6,5.936465104638255+1.6828076811818552E-5i,-39.98043429655834,-11.56417818707962
2.6,6.2131534361012255+1.539388430171251E-5i,-48.805492664130014,-12.324134406774881
2.8,3.7430383767315716-9.940901937629688E-7i,-47.57307321390834,-11.996156438238277
2.8,3.8770155255169816+9.507923083581673E-6i,-49.57982284198932,-12.528424628918206
2.8,4.433618959238688-8.189934472257522E-7i,-9.084092485294159,-12.060385839569328
2.8,4.8573091960772175+5.332700215230393E-6i,-37.96613353167092,-11.841933288589088
2.8,4.883447780223984+5.646419506687187E-7i,-1.7161772911281865,-12.388386807020836
2.8,5.476816269048807-1.1273538091519196E-5i,-39.14399170613876,-11.985461188008337
2.8,5.590856651616667+3.082479804989654E-7i,-9.312059059250931,-11.898785535571488
2.8,5.818115143761718-2.2357701159909236E-5i,-49.21899113591606,-12.449949987429068
3,3.741638591160812+5.326604406769187E-7i,-47.41943714923512,-11.971044129852968
3,3.759164003361083+5.252008714987953E-6i,-48.9001202955189,-12.371723873333895
3,4.327553050559743+1.1355578846096054E-5i,-10.672436927435907,-12.326313297104013
3,4.6735886909256825+1.1846944506516399E-5i,-1.1820270858367306,-12.631597184488832
3,4.747001231634514-7.113401640755934E-6i,-37.96843508377103,-12.02172113588437
3,5.141646809806487+1.9193101608047016E-5i,-45.566967025054375,-11.978451876297916
3,5.366496784361442-4.835146422017783E-6i,-3.7365263303250495,-12.537381911737363
3,5.498331495415626-1.8826947129928413E-5i,-48.64694138238426,-12.346061963326017
3.2,3.664543054275715+5.241540674059958E-6i,-48.72312044273115,-12.342768338224698
3.2,3.7424297765218753-3.24281340213631E-7i,-47.21524419841881,-11.934502714561406
3.2,4.242747840525556+1.5311453265726228E-6i,-11.657161711551696,-12.151348307837234
3.2,4.504935299243703+1.933058232758804E-6i,-1.3133749435787638,-12.237340128479893
3.2,4.6586401413870675-3.8036505456420887E-7i,-37.36981698163603,-12.17091331183011
3.2,4.860580001322319+1.1144400950200374E-5i,-45.82815807011125,-11.76621783809384
3.2,5.190810911465936+1.9387311008687453E-6i,-3.1355232664259143,-12.38721410811639
3.2,5.235613845210008-6.267787560351534E-6i,-50.30057858124175,-12.807650741532782
3.4000000000000004,3.586369603022715+7.258703961486701E-6i,-49.6984219877689,-12.598823472052517
3.4000000000000004,3.741484705699377+2.4406363381558257E-8i,-47.56251499849709,-12.035289510910287
3.4000000000000004,4.169705919494991-1.9637720284796323E-6i,-12.564169063535159,-12.100943299753057
3.4000000000000004,4.364433673638336-1.8248086368654526E-6i,-1.5702256677714386,-12.461862130888257
3.4000000000000004,4.585489773973192-1.7543264065277309E-7i,-35.52857613739857,-11.834055127412924
3.4000000000000004,4.6251896128986525+1.3755086268974909E-5i,-46.56922188407162,-11.874206481295827
3.4000000000000004,5.0204590130236095-1.3976152477525313E-6i,-48.85993282065497,-12.482129246910038
3.4000000000000004,5.044688247755429+1.960706090368034E-6i,-3.305312805619907,-11.734911874254394
3.6,3.518033243199865-4.5021603428923714E-6i,-49.06491069487885,-12.455105617455974
3.6,3.737828385995531+2.804089421009895E-7i,-47.56921159415433,-12.058771683225938
3.6,4.103439935978632+4.655969465356818E-6i,-13.53106287552176,-12.131477797725424
3.6,4.243922438362222-3.243221190773466E-7i,-1.8634619275115438,-12.430559585594509
3.6,4.421818376363563+4.199458243064482E-5i,-46.76159133940998,-11.894022769000133
3.6,4.519866798138572+7.289105860078667E-6i,-34.42261636324383,-11.722462589364032
3.6,4.834326854745795-1.938402114677136E-5i,-47.44967601231124,-12.212567087963995
3.6,4.914591647667462+2.7212421219274567E-6i,-3.9389719139273853,-11.578165863445733
3.8000000000000003,3.4641288088566+5.6985661800934494E-6i,-47.82981101687405,-12.151343264325842
3.8000000000000003,3.7381676966239272+1.4482760117468377E-6i,-46.26220804603969,-11.747441555286143
3.8000000000000003,4.0502239453568984+4.595386290103914E-6i,-13.868393659942443,-11.957378554249038
3.8000000000000003,4.14394243319995+4.947772064915076E-6i,-2.1112348853145866,-12.311768976799378
3.8000000000000003,4.2529448130826175-4.320736775072487E-6i,-44.72663470855603,-11.34794578791784
3.8000000000000003,4.469993350001934-1.6562614454633127E-7i,-34.065078365386825,-11.733120385227872
3.8000000000000003,4.683821017678347-8.204630541878572E-6i,-47.34701576977855,-12.220183728212254
3.8000000000000003,4.808880488984266+1.5036767596433298E-7i,-4.931799655609427,-11.98535812684367
4,3.414760537467275+4.79804181329707E-6i,-46.518407826498304,-11.830039955431996
4,3.7335641973558884+4.466023242092946E-7i,-45.870720592809285,-11.678164204109164
4,4.000758593279622-4.214789912815828E-6i,-14.121914201933318,-11.8900819183533
4,4.053417934604282-3.3443083632850167E-6i,-2.4104378277977903,-12.091746729465424
4,4.106898381576665+1.2003516668835504E-5i,-44.82745113344558,-11.350535600841727
4,4.422878900376259+1.3778444467984353E-7i,-33.83010466818111,-11.66457543481964
4,4.552318081207506+4.403373522641103E-6i,-46.91001757123589,-12.175672369618646
