% Model,Cyl_axis_oriented_magnetic_field.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 29 2025, 14:27"
% Table,Table 2 - Line Integration 2
% H0 (A/m),Eigenfrequency (GHz),o (1),e (1)
83000,6.6874310752803625-2.1130347113698787E-6i,-0.0018327536332838536,-0.3858129031172535
83000,7.16392123105018-6.825199109533617E-7i,-0.36908463935487756,0.0018754308999159354
83000,7.317890113037732-1.7056414135310261E-6i,-0.0315379270087506,0.006744876303014841
83000,8.584546619070272-1.9862568915808655E-6i,0.0015429453006153126,0.009913407811657055
83000,9.567333303770383+6.473629744958504E-6i,-8.444290187697162E-4,0.13835423913523928
83000,9.825893520426082+3.387136656931984E-6i,-0.0045423439744973195,-0.15178186882088648
89600,4.885181847239996-3.4996498502888596E-7i,0.003261623664641648,0.4979555197452256
89600,5.329677080198162-1.4826599791312984E-7i,-0.42988763470120717,-0.002397121231990912
89600,6.550365575513383-1.1605308877392142E-6i,0.0030289774621698826,0.48769449748705596
89600,6.918001424778316-2.5046320658495926E-6i,-0.003422461026401756,-0.60459628548319
89600,7.40273057729765+1.727469588489346E-6i,-0.42395501961361226,0.0012117845252929823
89600,7.549353424506343+5.256611161364784E-7i,-0.5385885591758045,-0.007076697713527843
89600,8.817398554673423+5.971785867818614E-6i,-0.0035244449381148534,-0.017045797703091916
89600,9.807509012946728+8.476367868033635E-6i,-0.00351431706988538,-0.36930201771651017
89600,10.056221434338038+3.5918519751327015E-6i,0.0012439672852819165,0.5908692373004395
96200,5.11618869016584-3.534349261291011E-7i,0.0031958504074512443,0.4980587616689243
96200,5.562270796012687-2.040991544340596E-6i,-0.47424624669390203,-2.09299456302064E-4
96200,6.7947131049278475-7.002497042637833E-7i,0.0030567545850330676,0.4690372687403817
96200,7.148552099664844-2.948002633190208E-6i,-0.003415230129518233,-0.6095722611446975
96200,7.6403080635383676-1.8604191032089424E-6i,-0.44954049071778523,0.0010901455520631544
96200,7.780748117897216-3.0970065349549974E-6i,0.22021619659714534,0.006625711252543371
96200,9.049747557630655-3.303872820119309E-6i,-0.003061635802588487,-0.013259581257949998
96200,10.046513350012821+7.15671439433657E-6i,-0.0037680187800674145,-0.4787894200043833
96200,10.286584536861499+7.208026737541986E-7i,0.001241045877815644,0.5830576677799164
102800,5.347410619555158-1.940247027672024E-7i,0.0032292853262325468,0.4973333877149956
102800,5.7947681258356845+3.2619587394573193E-7i,-0.47370409791675483,-0.0013524080697501942
102800,7.038335102721108-2.990496639901053E-7i,0.0031658147501000167,0.4893999618391567
102800,7.379369719005083-2.468076292009033E-6i,-0.0031296201374140637,-0.5732999199797535
102800,7.8778567676862625+1.7421525818347781E-6i,-0.4487111694081551,0.0015204399654030268
102800,8.012167144667094+1.8413114325530753E-6i,-0.6955791703845783,-0.0021953667814506926
102800,9.282304846567397+2.0922825583476434E-6i,0.0018064491675277355,0.009015705285626806
102800,10.285241207091667+6.8845659663559085E-6i,-0.0031603880410626703,-0.2868639828132713
102800,10.517189968392067+1.8286919185102462E-6i,0.0018670259620604253,0.6309665515195986
109400,5.578672627566795-2.0207337258014572E-7i,0.0030972399190085046,0.4983832092865877
109400,6.027448703298044-4.313621852285697E-7i,-0.44311352089206607,-0.0012929897700442608
109400,7.281417369278164-4.1428337943339013E-7i,0.0032166620018468373,0.5385425300251213
109400,7.610271541156005-2.3235451059409845E-6i,-0.002393094893919479,-0.4502027802370707
109400,8.115195119516809+6.090359274762068E-7i,-0.44994372550766304,9.558379279054532E-4
109400,8.243816114935438+2.49409251679383E-7i,0.25604930395738446,-0.0056714372619473315
109400,9.514931075432248+3.2424945718964863E-6i,-0.002819058618305703,-0.010591325011691235
