% Model,Sph.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 28 2025, 21:56"
% Table,Table 2 - Surface Integration 2
% scale,Eigenfrequency (GHz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1),m=6 (1)
1.4,3.896426907359869-3.328898985080054E-15i,3.5242934988038657E-4,0.2262457648976985,-2.644155358896277E-4,-2.5102803594100173E-4,2.187014457245308E-4,-8.065918787389091E-5,-8.104943742080139E-4
1.4,7.644393579122178-8.614987078370692E-16i,-2.855172502972225E-4,-0.30789776672347247,2.5637664028086862E-5,1.7067222978615917E-4,1.033340518999917E-4,2.0661934022854757E-4,9.395236398315565E-4
1.4,8.409229601770921-1.819936345393294E-15i,-0.17330210606614113,-3.517602701992267E-5,-2.732877395314731E-4,-1.1700679504876192E-4,1.1346911304865565E-4,1.398997001150954E-4,-1.950143232060612E-5
1.4,8.645106719650043-7.074486947224139E-15i,2.357419837247024E-5,1.2281607025597114E-4,-0.03006791820520286,-4.854575551363754E-5,1.2164691839082383E-4,-3.284629992685202E-4,-7.309810546866136E-4
1.4,14.907525098270058-9.59367910383633E-15i,0.0021094762647899997,-0.07699994390709883,-7.725927644903703E-4,2.2972092626981192E-5,-8.189008911763793E-4,-0.001118007103618158,1.628334921832817E-4
1.4,15.17390273634388+2.1806755000628755E-14i,0.5174210066416058,1.5480436139342758E-4,-0.0011747948513367952,-2.5104668957168615E-4,-5.380484942041182E-4,-2.5677564639796233E-4,1.4882207569124213E-4
1.6,3.8963483065114337+8.010640274414838E-16i,-1.1087736075080242E-4,0.22652277925239878,-9.849798685343082E-5,1.314940659336837E-4,-4.448417423391471E-4,7.662803684375126E-4,-2.847588877638217E-4
1.6,6.58144961144894,8.311073981174803E-5,-0.24597919060532072,1.359464189569128E-4,-1.543045314951088E-4,4.7062095127929366E-4,-7.853669339205026E-4,2.897960505205811E-4
1.6,7.312352806214187+3.897249375641409E-15i,0.29569207117685864,-1.2507432588239372E-4,-3.243288022285531E-4,6.568690190681562E-5,4.1749710787159324E-4,-4.412973110947919E-4,1.0341374415556077E-4
1.6,7.582074830603854-2.280555269761165E-15i,6.954027519203709E-4,2.560198194575112E-5,-0.2123170977668829,4.0275407240520766E-4,-1.8166533046740576E-4,1.507650955879712E-4,-0.001051156083234543
1.6,12.146352121229878-5.9106007553517406E-15i,-0.0020620183690425197,-0.0596912345259254,3.8524192985708E-4,-0.0011336280728094388,-4.529676594066826E-4,-5.749347096032658E-4,0.0012524909133808959
1.6,12.416016350960966+2.107149457154485E-14i,-0.5233515017987084,1.4928269738883742E-4,-6.646380137191783E-5,-1.9984140156071589E-4,-6.425045489210541E-4,7.555296067929112E-4,-2.6519831469420653E-4
1.8,3.896513481145555+2.8301963815366016E-15i,6.449432234192749E-5,0.21691360050009198,2.2434419243194995E-4,-3.9664922661965176E-4,-4.669880004280289E-4,9.070367986506282E-4,-3.599352555940524E-4
1.8,5.852909897144366-4.450712874880751E-15i,7.166406640371813E-6,0.21043161436431604,2.1175724982290813E-4,-4.1022372183647317E-4,-4.72952583588986E-4,9.305036562266066E-4,-3.4413153792877066E-4
1.8,6.553851059956442+1.6418289296837602E-15i,0.20337833225079577,1.7315661238732842E-4,1.6264961414310102E-4,2.9540937575801862E-5,3.4803206888403665E-5,-2.8403050336551073E-4,1.5134223215611047E-4
1.8,6.853438510739507+1.4884753878583605E-15i,1.2857461895856312E-4,-7.794389306117141E-5,-0.1876071555846906,2.9021803663717807E-4,-5.39935182556505E-4,2.8437971288345335E-4,-0.0011822965356347213
1.8,10.243673559871734-7.960299235509964E-15i,0.002094163242489407,-0.05641252558824887,-0.0021701931053584437,-4.7010425321928896E-4,-1.0095440915984204E-4,-8.8995649062588E-5,-1.0007042501601649E-4
1.8,10.517887746913594+2.301946944823711E-14i,-0.5834601621205274,-2.846268645517694E-4,3.7382238759175134E-4,-1.4811878959635784E-4,7.12447340543551E-5,7.834637454423796E-4,-5.39176906800216E-4
2,3.8965096052061705-5.365683441392617E-16i,-2.5292125080893127E-4,0.22197089677020604,9.891574776772923E-5,-1.818240617558738E-4,-2.668901268445772E-4,1.6673604806675607E-4,1.8260160714626714E-4
2,5.3317004270373465+4.3504595647338235E-15i,3.2309656355577945E-4,-0.22370408188889618,-1.0449320236323623E-4,1.8498319075952078E-4,2.6661793509751697E-4,-1.6767462468304125E-4,-1.7640184420303373E-4
2,6.006804580470986+4.780717263048862E-15i,0.11524365910634753,-5.133956849304376E-5,-1.6282018540652527E-4,7.094553172348988E-5,-8.308800267484583E-5,7.592552758550537E-5,-2.784319273890287E-5
