% Model,cylinder.mph
% Version,COMSOL 6.1.0.282
% Date,"Oct 30 2024, 18:57"
% Table,Table 4 - Surface Integration 1
% h0 (A/m),Eigenfrequency (Hz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1)
2250000,8.124965817377377E10-833.5020337554847i,-0.25917453298763465,1.1082803468226508E-5,-0.03364544792428553,1.2209476823044356E-4,3.919981013604818E-4,-3.6363042842093484E-5
2500000,8.916117186701614E10+1.9395160381858954E-4i,7.153195245073488E-5,-0.0016247417324049998,-1.5166164464675707E-4,2.5008669413791664E-4,-3.2440159334809785E-5,-9.031773618344277E-4
2500000,8.932199447209694E10+1.1325201870704304E-4i,-4.240645178097556E-4,0.4557511414353373,-8.602299553287424E-4,-0.001160218561502318,1.4859917151407054E-4,-0.0011644130310533886
2500000,8.984200524112376E10-0.005759572390651659i,-5.956021734454045E-4,0.8501292873791376,-0.0012566175161809593,-0.0018657037987576328,2.604764757782206E-4,-0.0013420014121879285
2500000,8.99790952246256E10-5.975902538269198i,-0.10976669987611733,4.33108518525277E-5,0.02940583397442839,-5.565865522593746E-5,1.3872122032495453E-4,1.3223682201776374E-4
2500000,8.999106474482881E10-21.75663526218628i,-0.012930760991771229,7.335092218057785E-5,0.01253134835633574,1.5894873921507214E-4,7.325438337002564E-4,-2.3938617231940754E-4
2500000,9.004409837205695E10-559.0705466288854i,-0.09594311306665099,4.169709509774674E-5,-0.013984776647893889,-2.0882116882790943E-5,3.2959216448570595E-4,9.559478691250908E-5
2750000,9.795448662692653E10-1.6885975784480293E-4i,7.819806399099119E-5,-0.03878217199129687,-4.502740578363808E-5,2.599012022576335E-4,-3.7374409009846565E-5,-5.882764666356728E-4
2750000,9.811531502824474E10-1.4374580956734212E-4i,4.4920602654207307E-4,-0.4566916546379749,7.893911710000235E-4,0.0012617329305122955,-1.6321744267665033E-4,7.608006889571924E-4
2750000,9.863531669942455E10-0.0025370983471326705i,-4.86237195272935E-4,0.6619536227005887,-9.139105208284118E-4,-0.0015480471477504858,2.1644027943283368E-4,-6.815810596600934E-4
2750000,9.877351152396388E10-29.94242180542352i,-0.1443619383980358,-3.2987410664314594E-5,0.0387042270347115,5.982588220156213E-5,2.541967816640017E-4,6.358935231066563E-7
2750000,9.878438334029646E10-50.61593804315917i,0.04893491466504506,-1.4639825167099028E-4,-0.04548711415192169,-1.4219684948287817E-4,-7.076718765109468E-4,1.767041376578584E-4
2750000,9.883833402967268E10+662.538806881568i,-0.1478661479054528,3.871985402367497E-5,-0.020852172235307637,1.7944840451181458E-5,4.0522533853032047E-4,6.148696777846763E-5
3000000,1.067478007256452E11+1.2318418983242295E-4i,2.493122449060164E-5,-0.05611262653404683,1.2827369338823028E-4,6.685482728329036E-5,-1.4154326425542934E-5,2.8317138956526744E-4
3000000,1.0690863398772812E11+1.786346953460338E-5i,3.8401173414044816E-4,-0.36908669820221984,5.747971223052476E-4,0.0011059463881565156,-1.444063334610714E-4,2.6189194985167495E-4
3000000,1.0742862802195174E11-0.008960209978589862i,-4.8236936714109624E-4,0.6556240685713149,-9.030119739079691E-4,-0.001535288555273434,2.1483242200277374E-4,-6.628762546147492E-4
3000000,1.0756774685948517E11-31.21755942840884i,-0.13238017713716035,1.1204060181956298E-5,0.035245221220642296,-5.4461113023411925E-6,2.2535831116719893E-4,7.726959419227349E-5
3000000,1.0757770052054538E11-63.53800811023997i,-0.0640286207298719,1.1482479525695539E-4,0.05821184525016959,-6.658788090537621E-5,-2.857394866833786E-4,1.713557721192972E-4
3000000,1.0763241917176718E11+2177.657816837932i,-0.22768372919013408,3.161653775908301E-5,-0.031104172347534022,8.83140025879105E-5,4.738409149565824E-4,-3.3398642935189593E-6
3250000,1.1554111430981702E11+2.03873146003899E-5i,8.037018215389577E-5,-0.030121378533806347,-7.811806070290604E-5,2.7042292576260826E-4,-3.79303185221887E-5,-7.099211575029653E-4
3250000,1.1570195170698117E11-1.0200760978188667E-4i,3.8631564539695076E-4,-0.3718429268548521,5.81006808241075E-4,0.0011047372175443018,-1.4512187521156512E-4,2.743784093195076E-4
3250000,1.1622193923878561E11-0.0014663273722235728i,-5.684250656625366E-4,0.79979163195142,-0.001159043985166925,-0.0017855460912469326,2.499291144547795E-4,-0.0011321841202412385
3250000,1.163618424015438E11+112.03509850734885i,-0.10525674328886718,5.04637463023136E-5,0.027718352547716617,-6.56463947966493E-5,1.8946535778874935E-4,1.3845283602671846E-4
3250000,1.1637101689608559E11+74.80255869274968i,-0.004009451071149158,-3.715617833154462E-5,0.0028065581927018005,-1.5520516976512825E-4,-7.828617038975055E-4,2.49219654685232E-4
3250000,1.1642638903553604E11-1124.3543223660959i,0.23033555941798783,-2.4060155088548324E-5,0.031737125912240274,-8.744277660598858E-5,-4.946261408841851E-4,6.4144809012305634E-6
3500000,1.243344274856324E11,-7.24353493798154E-5,0.046671480868369974,6.809261033043415E-6,-2.3639836555655776E-4,3.519054057359234E-5,4.3008216037247553E-4
3500000,1.2449526844357042E11+1.0796224073634998E-4i,3.6977203703576463E-4,-0.35156928322202835,5.358819921730693E-4,0.0010591302646572216,-1.3988576916670745E-4,1.8415723756850036E-4
3500000,1.2501525037175934E11-0.001343328435794703i,-4.942657529252779E-4,0.6749587500053,-9.364383447809683E-4,-0.0015684377533346679,2.1974055061876722E-4,-7.20661883450241E-4
