% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 14:44"
% Table,Table 3 - mXY
% scale,Eigenfrequency (GHz),py (1),N (1)
7,3.749445289595414-2.1039766934177023E-5i,-42.5283813726818,-11.691440906951437
7.199999999999999,3.087109034496358+3.2025458040778394E-5i,-47.122857693032074,-12.058653067902736
7.199999999999999,3.1084295520341203+1.5428434362439807E-5i,-49.7200629450547,-12.75922609211022
7.199999999999999,3.4100011427162498-9.702327861612025E-6i,-42.91547634824379,-11.301120694748223
7.199999999999999,3.428462869134794-5.4779483569960454E-5i,-9.778487781696889,-12.199260889774168
7.199999999999999,3.4347012677741273-9.645162524651914E-5i,-6.893043616161568,-12.239167136169867
7.199999999999999,3.7151342110426597-6.28084383420132E-5i,-39.473123993286976,-12.021940949879747
7.199999999999999,3.7174003066263026-3.436856107614903E-5i,-40.247206682986494,-12.161229122915818
7.199999999999999,3.7473540258052074-5.182325285367835E-7i,-46.040482321309064,-11.899366964051572
7.3999999999999995,3.0643256797945915+5.2277917809863904E-5i,-46.873004870210195,-11.990277672340518
7.3999999999999995,3.101662702915206+1.7392000120399413E-5i,-50.48541907233433,-12.961778328537026
7.3999999999999995,3.3658946764087165+1.894409357342837E-5i,-42.75946847689413,-10.94644982447906
7.3999999999999995,3.4087830308289595-3.4701373364208025E-5i,-5.2298350013998665,-11.789423457802739
7.3999999999999995,3.4126261763579584+1.399414879559612E-5i,-10.577247426286434,-12.525319897036745
7.3999999999999995,3.6833758907127083-5.780537584189804E-5i,-40.11885260602984,-11.4326023583775
7.3999999999999995,3.694231078384587-8.040973044015445E-6i,-39.80128758576707,-12.153275570218856
7.3999999999999995,3.744488474432821-3.0060082984217046E-5i,-44.333748301856915,-11.838822304664662
7.6,3.03994965312711+6.406935101937618E-5i,-46.716768767206034,-11.951240016894449
7.6,3.0938567161654436+3.41588559209774E-5i,-48.57443108997528,-12.472949951662402
7.6,3.317759999536453+2.9001814366584607E-5i,-42.7686348546751,-10.952550735719166
7.6,3.3812598089292973-3.0345509357248825E-5i,-4.496368040927665,-11.657606529038704
7.6,3.391955991942658-2.861742963615099E-5i,-11.223801981783094,-12.150974346363704
7.6,3.6475339096327937-6.505747483399235E-5i,-42.88954447624936,-11.688587700976653
7.6,3.6663500266466778-2.7444039596196754E-5i,-33.745727816339574,-11.757225822021832
7.6,3.6976301785563037-7.710795729414211E-5i,-35.40013964987673,-10.76172125217391
7.8,3.0186209798241026+2.3550654680594543E-5i,-45.23883171633955,-11.578625033801275
7.8,3.087835668896444+1.621892138470364E-5i,-48.24528831989476,-12.402557646063343
7.8,3.2743128265371233+2.2130877191783135E-5i,-42.7078707442339,-10.907724069394918
7.8,3.35603353754427+4.258951638048324E-5i,-4.302735854412087,-11.525671052472287
7.8,3.373394279505089+1.965979039118539E-5i,-10.87105337985433,-11.86792308702458
7.8,3.6157947443833782-1.656255230306162E-5i,-42.52482493771042,-11.37751745597244
7.8,3.633782628574456-1.4135794675886237E-5i,-22.30173258622382,-11.367907443780611
7.8,3.6454794153168883+6.696284313835486E-5i,-37.516735899727976,-10.613165655609217
8,2.9981239835452316+3.884969997704968E-5i,-45.302609972097414,-11.600634286193543
8,3.08110737006283+2.0850996036798506E-5i,-46.43056161867441,-11.950446235445058
8,3.234225744163172-7.90657035475476E-6i,-41.49738654080389,-10.597132723942108
8,3.3287812367689726-8.694473141936764E-6i,-4.3136210600047304,-11.432089076727772
8,3.3516041531468206+6.006593046131417E-6i,-10.641896315530472,-11.685095751330502
8,3.583832915680942-1.3319586259673809E-5i,-42.87680499411098,-11.475425166772986
8,3.595215821029948-1.543087510599591E-5i,-34.17067289866078,-10.362570202629684
8,3.599669893867469+6.011913486666959E-6i,-20.721383105060617,-11.188934798229072
