% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 13:20"
% Table,Table 2 - mYZ
% scale,Eigenfrequency (GHz),py (1),N (1)
2.2,4.431877166257215+9.394324957026684E-6i,-49.76190246296502,-12.45061722021699
2.2,4.894976531616075+6.917623470935605E-7i,-43.217697636846495,-11.89100850306954
2.2,5.3907405407277-7.665332026583432E-7i,-4.30778402822815,-12.088202817404817
2.2,5.853122102082121+1.9159233267606808E-6i,-49.162806641357726,-12.315089502712645
2.2,6.543845587115392+5.156942532291072E-7i,-0.7539333718293814,-12.034062147311493
2.2,7.112297363307434+4.894148690210305E-6i,-48.20027014200285,-12.117431043692328
2.2,7.345309536783986+4.411396285156063E-6i,-0.0927149602892973,-12.609184003121028
2.4000000000000004,3.7450346669242367-2.2664498163817794E-9i,-47.2444239075598,-11.841782698715589
2.4000000000000004,4.202142847022484+5.860723181485056E-6i,-48.75530203276272,-12.200729044071624
2.4000000000000004,4.7088160862978805+6.872983846858014E-7i,-42.918596301471005,-12.241762913585791
2.4000000000000004,5.1699438202964805+2.584309031781682E-6i,-5.749309654948481,-11.891926556382021
2.4000000000000004,5.451511945252567+2.075447919536409E-6i,-49.35870906468541,-12.37728770003059
2.4000000000000004,6.140989686098041+1.5642696610168021E-6i,-1.6558618377168153,-12.21676426457402
2.4000000000000004,6.453218052589637-1.5585249326509592E-6i,-46.11178298790284,-11.768997942389687
2.4000000000000004,6.7109752636348805-2.021290012323597E-6i,-0.12995409721346077,-12.347892116992982
2.6,3.74365371724014+1.806938231101213E-7i,-46.16136167035016,-11.574629101390638
2.6,4.021051887848972+5.396465032077713E-6i,-48.36297750949951,-12.105248648492871
2.6,4.556476694482021-4.084273787481706E-7i,-40.46996759453152,-11.962289029256977
2.6,4.993923121640702-4.062281560820503E-6i,-7.128012344938475,-11.675581046146375
2.6,5.135943552280359+4.968564258934502E-6i,-48.52079765304746,-12.181856867939231
2.6,5.806878761984152-7.184502943751549E-6i,-6.839320974592975,-11.795485202077067
2.6,5.936465104638255+1.6828076811818552E-5i,-40.145935593150185,-11.543566456110518
