% Model,Cyl_axis_oriented_magnetic_field.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 29 2025, 14:10"
% Table,Table 1 - Surface Integration 1
% H0 (A/m),Eigenfrequency (GHz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1),m=6 (1)
83000,7.317890113037732-1.7056414135310261E-6i,5.064755744518862E-4,5.077479385775745E-4,-0.2606028069505735,4.964630424295171E-4,0.001917311634540821,-2.724956083285917E-4,-1.1900417481524162E-4
83000,8.584546619070272-1.9862568915808655E-6i,-0.0039493145222909065,0.14876575346905835,-0.0057512617662157945,2.2543597965328388E-4,-0.0011195396431195664,-6.516272116072292E-4,-6.783913832036623E-5
83000,9.567333303770383+6.473629744958504E-6i,2.0437633561628754E-4,0.36227812664488884,-2.50102529161917E-4,-3.135742085180249E-4,-6.879009939903842E-5,2.377489100378238E-4,2.84199607977249E-4
83000,9.825893520426082+3.387136656931984E-6i,6.32427889699639E-5,-6.572786488468106E-4,1.7390867845933192E-4,0.34775475211218865,-2.4548794173205417E-4,2.20736963105166E-4,-2.833769852827573E-4
89600,4.885181847239996-3.4996498502888596E-7i,1.115676125998183E-4,0.24871289888579304,4.69593646626301E-5,3.6004718259916065E-5,-8.699607450283399E-5,-6.650827385806174E-5,2.85884798055769E-4
89600,5.329677080198162-1.4826599791312984E-7i,-1.9454678264518675E-4,-0.21502403116352586,-2.231949858549014E-5,-8.331332240273023E-5,7.991214640343335E-5,6.22833869984401E-5,-2.7019212088213334E-4
89600,6.550365575513383-1.1605308877392142E-6i,-0.10060351571440679,6.147533118715613E-4,-8.630435717205845E-4,5.87342288321657E-5,-4.723775640798018E-6,1.962703697608501E-5,3.144326565050511E-5
89600,6.918001424778316-2.5046320658495926E-6i,-0.0011194209129034994,-2.83199635497124E-4,-0.3448927742520694,1.9335365066183675E-4,3.600071636254512E-4,-4.635367813634315E-4,-1.7106682309195445E-4
89600,7.40273057729765+1.727469588489346E-6i,-0.6274265780949964,9.785522012656055E-5,1.5079380564598103E-4,-4.5745421279215895E-5,1.5818878253122542E-4,1.3610147235454146E-4,5.571369889150898E-5
89600,7.549353424506343+5.256611161364784E-7i,-0.0030081487286950704,-8.267653027637723E-4,-0.031109910995475578,-4.704711569229891E-4,-0.001798067554090521,-2.249599607214997E-4,4.613967970112418E-5
89600,8.817398554673423+5.971785867818614E-6i,-0.00457039570966688,-0.3363588253232345,0.003605036695102084,0.0020183770810737836,0.0011994214437906488,-1.9494345605683677E-4,-2.3903785633816595E-4
