% Model,Cyl_Form_scales_v1.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 27 2025, 22:11"
% Table,Table 1 - Mode z parities
% scale,Eigenfrequency (GHz),ooo (1),eee (1)
0.6,27.940097036408318-4.2443575029247116E-6i,0.009142620907602494,1.0100212584718824
0.6,27.97905568671831+1.8693284417723194E-7i,0.007123127415796552,0.9004335765335689
0.62,21.979268913108598+6.543903146509323E-9i,0.0017638153809874995,0.9000472554797703
0.62,22.96166292649336+3.5382026869147423E-7i,0.0012519577318871307,0.6535149693068204
0.62,23.003546482617928+2.6884964268552854E-7i,6.570134025485294E-4,0.8493249429803807
0.62,24.345283570315466+9.089610544576291E-7i,0.002003532361298559,0.9066955302403115
0.62,24.398440084264422-8.054285432671711E-7i,0.00199926394561514,0.8618754090791078
0.62,25.401200794266188+1.2702452561714144E-7i,0.0019063208541732258,0.9241142577249174
0.62,26.135700632240667-1.6052917624981134E-8i,0.0018028054192948757,0.7823494071573174
0.62,26.18805843324381-3.3617411587129683E-6i,0.0019143784145506206,0.8621594638768625
0.62,28.300518079915225-6.562189889271939E-7i,0.0018721387516761573,0.8786822978710979
0.62,28.31076924985852-4.812046415223643E-7i,0.0017363510125569786,0.6713721333202629
0.62,28.350246492343278-2.442093639240953E-6i,0.0032543059764571555,0.9991154541729372
0.62,28.39421709724526-7.18916702900759E-6i,0.003156885426135682,0.8738015071120758
0.6399999999999999,22.030261669933562+4.3321020990152995E-8i,0.002094470397030455,0.8999839440120435
0.6399999999999999,23.06180082812788+2.5558975883439425E-8i,0.0016144886404279655,0.6952422108666165
0.6399999999999999,23.106565767829846+3.575337055404016E-7i,8.094813898717192E-4,0.83645900433499
0.6399999999999999,24.522101923054738+8.565704468660541E-7i,9.465222529076792E-4,0.8194159550996886
0.6399999999999999,24.574586360716353+2.8292652395300084E-7i,0.001295830299706866,0.7067690575768506
0.6399999999999999,25.650774707359837+1.457562080980403E-7i,0.002224571786004382,0.9251351737002631
