% Model,Cyl_axis_oriented_magnetic_field.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 29 2025, 16:26"
% Table,Table 1 - Surface Integration 1
% H0 (A/m),Eigenfrequency (GHz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1),m=6 (1)
83000,7.3199457872319575-8.78218377344139E-16i,-0.004790337903259289,-6.000322933161514E-4,-0.2628418684015739,-1.5509133921816774E-4,-6.25966467031673E-4,-4.923092795782671E-4,-4.683067093520209E-5
83000,8.611848729415259+7.288020275130762E-15i,-0.010003498247018941,-0.33383962606456347,5.927375706023117E-4,0.0019052271335703462,7.954845687103963E-4,-0.0010313676897166241,-3.267728811415036E-4
83000,9.66255519524762-2.5431093997113584E-14i,-2.3316550987076333E-5,0.2804421062371253,-5.7605667042995046E-5,-8.673864946459564E-4,1.5426276036873928E-4,-4.4302433334511906E-5,1.265957194694449E-4
83000,9.787955092624088-3.217647830031253E-14i,-2.726058617840714E-4,-8.72461992445301E-4,7.7217138279353E-4,0.169625414076238,5.361619545771882E-4,0.0010624696238165305,-8.081702105268268E-5
89600,4.855009448775705,1.379979523968294E-4,0.24832973474011336,7.173985879335736E-5,4.8161945883353985E-5,-9.160831967033634E-5,-6.72062925466871E-5,2.8058916995158376E-4
89600,5.354614581968113-1.3605654772456529E-15i,-2.9258638848349077E-4,-0.20469577155567853,-5.5144923182960564E-5,-8.363242727892414E-5,8.923206384783155E-5,6.0096190630253426E-5,-2.568699033969085E-4
89600,6.616819814922242-2.6062887023798693E-15i,-0.07731974437015855,4.8731843727778504E-4,-0.001147826512798574,7.539012502826099E-5,-6.353515431246019E-6,1.1021426971722715E-5,2.428730477909587E-5
89600,6.882464751031936+7.374730508818539E-15i,-0.0011089605583878227,-1.6609041070288297E-4,-0.35462694638692643,2.801603178963457E-4,5.178075123212482E-4,-4.5737612305763337E-4,-1.874823727595926E-4
89600,7.4558635586072715-8.617816854920111E-16i,0.3570640648876489,-4.452141788642127E-4,0.0034254750321809297,-1.0924249840279042E-4,-1.077011007368685E-5,-1.0883535394653665E-4,-4.479796603814205E-5
89600,7.552093725046795+8.845775749216628E-15i,0.003895610117281149,8.105338982332256E-4,-0.046814427318090004,5.432523680360151E-4,0.0030318809075294013,7.842205599582236E-5,-9.265022225630115E-5
89600,8.844038351902226+1.4325240290915006E-15i,-0.010687982190898957,-0.14647857620621987,-0.00288036635942276,0.0018197959042622262,1.919642848018396E-4,-8.954071482686734E-4,-2.695505459558921E-4
89600,9.898963486274189-1.1528303227617257E-14i,6.521717577371667E-6,0.30393874759895445,-8.43554591368416E-5,-8.558082953998852E-4,1.2094492809848802E-4,1.7911790427600585E-5,1.5657046923915337E-4
89600,10.020171734904757-1.342667666995032E-13i,-2.444295455090587E-4,-8.7309760098725E-4,7.593840756310506E-4,0.21851106418308394,4.525190962639077E-4,0.0010425398702089263,-1.2048214917285579E-4
96200,5.0871652627273+8.597672856132395E-16i,1.3824410300854883E-4,0.2483119377271945,7.101021226925552E-5,4.906209493373587E-5,-9.177641825863368E-5,-6.746570171556118E-5,2.8070076079995796E-4
96200,5.586813813084676+1.354607119105172E-15i,-2.2296797500406294E-4,-0.27073053830663424,-1.9550977546923953E-5,-4.0615628855647145E-5,8.324793670190979E-5,8.766923712395363E-5,-2.968292382275905E-4
96200,6.859326429795251-3.940049539698869E-15i,-0.08234387413539941,4.871076438725148E-4,-0.0011963770329260777,7.630103317170137E-5,-5.230580723108012E-6,1.2288521708798402E-5,2.4664841173555076E-5
