% Model,Sph.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 28 2025, 21:53"
% Table,Table 3 - Line Integration 3
% scale,Eigenfrequency (GHz),o (1),e (1)
3,3.8964058773796326-1.6012578984074387E-14i,-2.967752881886639E-5,0.4936129334201226
3,4.096405593610928+1.552625566689822E-14i,-0.38968981534934116,-2.3561240179896634E-4
3,4.687485254123928+1.7405654001707384E-14i,-2.004929420504606E-4,0.4255979312461919
3,5.095525009980245+5.356422402149256E-15i,7.133240564012665E-5,-0.5354119890079974
3,5.602171610915982+2.718168974470522E-14i,0.002067455541007597,0.015779238824673164
3,5.911776524319233-4.184325300274973E-15i,0.3306670583162744,0.004799251782143787
3.2,3.8963791264073158+2.1846557485598278E-15i,-1.4357823339404E-4,0.7082629578161886
3.2,3.976650922591445+8.61398177445348E-16i,-0.7859475779951028,1.327885824418429E-4
3.2,4.557102454408193-6.168035044896943E-15i,-3.6353754108824613E-4,0.23167681434174886
3.2,4.9753372794862285,-7.876389009040652E-5,-0.8605183661149299
3.2,5.278119335313102+5.5278224636901615E-15i,-0.0011115488036678534,-0.010462855549153051
3.2,5.593447939201745+1.4777013987248904E-15i,-0.605564604412506,-0.0015112184856106146
3.4000000000000004,3.8777112780309673-7.147823066051089E-15i,0.8173520189579384,2.3430587957613217E-4
3.4000000000000004,3.8965043371410246+2.934782105176878E-14i,5.605056281312714E-4,0.7332468325409136
3.4000000000000004,4.44867729105187+3.5063829661604557E-15i,-8.560363847935154E-5,0.42498213204045615
3.4000000000000004,4.87615939960274-5.981601933554586E-15i,-1.909841908642659E-4,-0.5989519495481289
3.4000000000000004,5.00740353163374-7.198290723526737E-15i,-8.78366791830567E-4,-0.013561032967774854
3.4000000000000004,5.328733676817795-9.925383519111774E-15i,-0.020580674830854274,0.0033963180208590985
3.6,3.794390029237746+5.0963132907922944E-15i,-0.8195389066899595,-0.004488103778081776
3.6,3.8964142974373273,-1.4550730826444366E-4,0.6977682462386657
3.6,4.35729772554264-6.2763182266556066E-15i,-3.0026481729070566E-4,-0.8133740294250745
3.6,4.778870326281933+1.3253433926757668E-15i,0.004267030277344314,-0.0506132720143572
3.6,4.792506154269911+3.403470513300492E-15i,-3.1469448368783855E-4,0.812783218825566
3.6,5.106531064606388,0.7456176250715831,0.002980778232218494
3.8000000000000003,3.7236035103618454+1.2031465357550153E-14i,-0.7972865085875519,0.004810198368507808
3.8000000000000003,3.8962671543642933+1.9255576711190193E-14i,6.327740400043579E-5,0.35108959591383315
3.8000000000000003,4.279739486645193+1.9167645442392508E-14i,6.46535352883536E-5,0.12798676869154527
3.8000000000000003,4.5838446587846065+1.0383765439405508E-14i,0.0016599715725868634,0.02926616308133082
3.8000000000000003,4.7211501844196695-8.674083002131393E-15i,-6.114565882511188E-4,0.8391031429832349
3.8000000000000003,4.917496112190444+4.2557317980482255E-15i,-0.14173579847302062,0.00706570833771042
4,3.6635962971584792+3.901376911094017E-15i,-0.3179652425388345,0.0012125785310156886
4,3.896404866167629-1.9331690890398336E-15i,-6.423389872165437E-5,0.6589551264085565
4,4.213305696704481+1.5697598150553644E-15i,0.0012292539425343663,-0.6108379538049797
4,4.416131923694167+1.334083152772908E-15i,3.554561392892682E-4,-0.06027074703331474
4,4.661530243006716+9.174922137759705E-16i,0.001256078478753045,0.43607062590412404
4,4.755600637281562-3.2208450517921444E-15i,-0.5408707049313399,0.008184141267769063
4.2,3.6119444620425822+3.470053080789476E-15i,-0.1162037389466918,0.0011255901544939518
4.2,3.8964517947503046+3.4308568090035587E-15i,-9.33104266604872E-5,0.6290866839597611
4.2,4.1560206576457634+1.7724803100779542E-15i,-7.718171435945066E-4,0.4891220035724653
4.2,4.271116955780801+1.5158170299227863E-15i,-0.0038602505504173575,-0.05343564843006699
4.2,4.609681809997223,0.01072354975011798,0.846709633134803
4.2,4.616041882529837-7.113796270969684E-16i,0.22708741881127392,-0.06046340843803631
4.4,3.5667138724024774+9.990931098154553E-16i,-0.8015936240770135,5.478532497902029E-5
4.4,3.8963635019782994-1.5705868181875952E-15i,2.3693825453463014E-5,0.6437864684755075
4.4,4.10607234237219-1.1650545893152853E-15i,7.848320779698129E-4,0.7555046692648105
