% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 14:43"
% Table,Table 2 - mYZ
% scale,Eigenfrequency (GHz),py (1),N (1)
6.6,3.5875199578960006+5.398980737473419E-5i,-42.23840425147844,-10.675638526620908
6.6,3.7521466850718874+2.9663247755442446E-6i,-44.773245692872,-11.46291063465589
6.6,3.7941620332407844+2.316556445674005E-6i,-7.931262915512911,-12.177513223887097
6.6,3.801399999006857-3.4257525166611784E-5i,-22.150524319938437,-11.17821552846946
6.8,3.127084800872675+2.221176043005196E-5i,-50.52945174406822,-12.698249299232126
6.8,3.145489155088485+3.9930036304682505E-5i,-47.86307831054477,-12.005728147662973
6.8,3.475286917032887-8.72604615179196E-6i,-40.82995372481329,-12.345517914904704
6.8,3.4982148024486217-4.2686714590831946E-5i,-44.537295362799135,-11.986349242505625
6.8,3.5245818152080948+4.174075190277857E-6i,-44.13594816988118,-11.127542432779311
6.8,3.750236948828632-2.2747292513557732E-7i,-45.40707688627062,-11.710655071642773
6.8,3.7665947719082418-2.2038076750281567E-5i,-8.388246003082834,-12.67534229728463
6.8,3.774618407858998-2.5779449171627913E-5i,-19.317614325852297,-11.340779502712861
7,3.115483588937208+3.896587405127992E-5i,-47.99557108873469,-12.044585173802739
7,3.117299771895446-2.32099876721532E-6i,-46.27555186697943,-11.633365869022347
7,3.449400049967503+1.9506727570442847E-5i,-39.7146923208503,-12.055205681926687
7,3.4615784122596143-2.0225861061570324E-6i,-43.3662229601637,-11.333555044566397
7,3.4663518285210975-2.3695336066092773E-5i,-42.10464404104122,-10.829754013986085
7,3.7409599886186657-3.824700728543996E-6i,-11.658676601587137,-11.754662001595566
7,3.7460731354125603-3.818018390712226E-5i,-19.343356282920556,-11.388436657362893
7,3.749445289595414-2.1039766934177023E-5i,-36.65387954429055,-11.680069986390734
7.199999999999999,3.087109034496358+3.2025458040778394E-5i,-47.982608502854326,-12.03402887792359
7.199999999999999,3.1084295520341203+1.5428434362439807E-5i,-50.70243397427268,-12.745433242251409
7.199999999999999,3.4100011427162498-9.702327861612025E-6i,-44.5525149719504,-11.22196183352665
7.199999999999999,3.428462869134794-5.4779483569960454E-5i,-40.74487787034171,-12.203395877493417
7.199999999999999,3.4347012677741273-9.645162524651914E-5i,-45.73380165178859,-12.331571137666934
7.199999999999999,3.7151342110426597-6.28084383420132E-5i,-8.513750476425892,-11.962345919741471
