% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 13:20"
% Table,Table 1 - mXZ
% scale,Eigenfrequency (GHz),py (1),N (1)
1.4,13.192311555874733-2.7079005321792007E-7i,-0.08447722307289242,-12.283705189376414
1.6,3.740155387812777-4.371745525418811E-7i,-47.32961270832064,-11.854242530273769
1.6,5.712681696614554+1.105571976473674E-5i,-0.16615944246871764,-12.3191151987885
1.6,5.8974949454496235-7.697527127118849E-7i,-48.47263043318416,-12.148399064596834
1.6,6.6728765017391884+9.212975558179845E-6i,-48.4592193655371,-12.135330897985742
1.6,8.077825788288864-5.093016468135428E-6i,-0.25270554685927954,-12.239779447980856
1.6,8.812524382350933+1.559585056895389E-5i,-49.39087309627577,-12.380827430272864
1.6,10.737659098461712-2.740587648224334E-6i,-45.510593268734176,-12.021301125119166
1.6,10.870049009672194+3.9445966899556195E-5i,-2.9896150081698747,-12.626758291529715
1.8,3.7405055994405134+2.0588234694731392E-7i,-47.79289347288962,-11.976936882354048
1.8,5.14627215595803+6.669427184183776E-6i,-0.39008746094206737,-12.459999610515226
1.8,5.455622619223-4.309887374595537E-6i,-48.6186023221162,-12.227875013615707
1.8,6.096609874023797-8.892285528546805E-7i,-46.4003499342054,-11.62139839517255
1.8,7.096729825299129-9.692457619672131E-6i,-0.31591235759479025,-12.49508991349997
1.8,7.794209294124219-1.3273086669913837E-5i,-45.77072958380556,-11.469069743820926
1.8,9.1426305347721-1.635080806020469E-5i,-47.735238332383,-11.973092287409175
1.8,9.312397262192645+1.5955131539615743E-5i,-0.1767934612205715,-12.223907849473923
2,3.7392037008862147-4.727730286372007E-7i,-46.3973574902161,-11.629814896975146
2,4.736939058031541+1.5039257772234011E-5i,-0.22098075764308256,-11.877895313086897
2,5.140463939855263-3.1678757749076926E-6i,-47.734715384833024,-11.97544745203559
2,5.687393164669319-1.2297452983236081E-6i,-46.71669466827149,-11.70428926567397
2,6.385650603730692-3.260952066895561E-6i,-0.330594744787043,-12.119221994246487
2,7.080795385444703-2.652705087976306E-5i,-47.31531727691069,-11.858284155554694
2,7.978985575739367+8.49007295999056E-6i,-46.20329228725075,-11.595483787139369
2,8.18393759790327+1.40925217938193E-5i,-0.2001614387104179,-12.188341739713158
2.2,3.7429643580897576+1.9567303210233216E-7i,-46.989321577733826,-11.789546851886561
2.2,4.431877166257215+9.394324957026684E-6i,-0.32081107269197306,-12.410449792895657
2.2,4.894976531616075+6.917623470935605E-7i,-47.33454669497401,-11.887523106963984
2.2,5.3907405407277-7.665332026583432E-7i,-48.27920374799646,-12.103469764168542
2.2,5.853122102082121+1.9159233267606808E-6i,-0.45614720036482914,-12.283554577104777
2.2,6.543845587115392+5.156942532291072E-7i,-48.07439865086359,-12.057823695698179
2.2,7.112297363307434+4.894148690210305E-6i,-48.05240550323217,-12.074309270505115
2.2,7.345309536783986+4.411396285156063E-6i,-0.2666721309591021,-12.60790818550279
2.4000000000000004,3.7450346669242367-2.2664498163817794E-9i,-47.19231739309171,-11.848779359183567
2.4000000000000004,4.202142847022484+5.860723181485056E-6i,-0.36930253091020526,-12.203028076364989
2.4000000000000004,4.7088160862978805+6.872983846858014E-7i,-48.7440052750322,-12.251062442510937
2.4000000000000004,5.1699438202964805+2.584309031781682E-6i,-47.47116681738864,-11.908003907457312
2.4000000000000004,5.451511945252567+2.075447919536409E-6i,-0.5383607218223816,-12.382194402100728
2.4000000000000004,6.140989686098041+1.5642696610168021E-6i,-48.74584403656701,-12.234159275605032
2.4000000000000004,6.453218052589637-1.5585249326509592E-6i,-46.86321024021739,-11.786533639194452
2.4000000000000004,6.7109752636348805-2.021290012323597E-6i,-0.303519217115924,-12.348859712885469
2.6,3.74365371724014+1.806938231101213E-7i,-46.056312383438,-11.570790526245124
2.6,4.021051887848972+5.396465032077713E-6i,-0.4230138202651897,-12.093102102355163
2.6,4.556476694482021-4.084273787481706E-7i,-47.563825033793805,-11.965238232106651
2.6,4.993923121640702-4.062281560820503E-6i,-46.516793273419744,-11.675792598186115
2.6,5.135943552280359+4.968564258934502E-6i,-0.603436205308811,-12.184007393981279
2.6,5.806878761984152-7.184502943751549E-6i,-46.93343962921103,-11.791045475479992
2.6,5.936465104638255+1.6828076811818552E-5i,-45.78686247497237,-11.521786418101138
2.6,6.2131534361012255+1.539388430171251E-5i,-0.3639581858515311,-12.302892144791656
2.8,3.7430383767315716-9.940901937629688E-7i,-47.78782274680396,-12.020429180344887
2.8,3.8770155255169816+9.507923083581673E-6i,-0.5099822840321303,-12.564859135528762
2.8,4.433618959238688-8.189934472257522E-7i,-48.000631740972985,-12.080846357257451
2.8,4.8573091960772175+5.332700215230393E-6i,-46.4114183515402,-11.870891835460283
2.8,4.883447780223984+5.646419506687187E-7i,-1.6148059345264603,-12.415150074281168
2.8,5.476816269048807-1.1273538091519196E-5i,-47.73548508575926,-12.022736993718683
2.8,5.590856651616667+3.082479804989654E-7i,-47.4132600134982,-11.919782282572108
2.8,5.818115143761718-2.2357701159909236E-5i,-0.4046182793313653,-12.495262343007656
3,3.741638591160812+5.326604406769187E-7i,-46.91581524555861,-11.981456544695119
3,3.759164003361083+5.252008714987953E-6i,-1.3011613683463508,-12.315312614435157
3,4.327553050559743+1.1355578846096054E-5i,-48.9437909553929,-12.32967055037633
3,4.6735886909256825+1.1846944506516399E-5i,-0.8177947642314246,-12.653471370443254
3,4.747001231634514-7.113401640755934E-6i,-47.77241825065201,-12.012904758611377
3,5.141646809806487+1.9193101608047016E-5i,-47.30076726081334,-11.930758709699743
3,5.366496784361442-4.835146422017783E-6i,-49.7951579484511,-12.52726019662569
3,5.498331495415626-1.8826947129928413E-5i,-0.47575535419908027,-12.349922724121992
3.2,3.664543054275715+5.241540674059958E-6i,-0.5931842309669116,-12.330449694279318
3.2,3.7424297765218753-3.24281340213631E-7i,-47.35333973337069,-11.923426065532055
3.2,4.242747840525556+1.5311453265726228E-6i,-48.199171105350594,-12.150358572581972
3.2,4.504935299243703+1.933058232758804E-6i,-0.8303440540012323,-12.242202921382143
3.2,4.6586401413870675-3.8036505456420887E-7i,-48.344172803654835,-12.159827492033573
3.2,4.860580001322319+1.1144400950200374E-5i,-46.53528796370428,-11.744425652192696
3.2,5.190810911465936+1.9387311008687453E-6i,-49.27078491504931,-12.398013357805866
3.2,5.235613845210008-6.267787560351534E-6i,-0.5283787382084799,-12.792182207670201
3.4000000000000004,3.586369603022715+7.258703961486701E-6i,-0.6357407830555625,-12.58725490449692
3.4000000000000004,3.741484705699377+2.4406363381558257E-8i,-47.76960737075361,-12.03497143247394
3.4000000000000004,4.169705919494991-1.9637720284796323E-6i,-48.02857844815802,-12.115914038075397
3.4000000000000004,4.364433673638336-1.8248086368654526E-6i,-0.9023354534860408,-12.485821989957769
3.4000000000000004,4.585489773973192-1.7543264065277309E-7i,-47.075698709406566,-11.848357428470973
3.4000000000000004,4.6251896128986525+1.3755086268974909E-5i,-47.062379280074076,-11.878549279268931
3.4000000000000004,5.0204590130236095-1.3976152477525313E-6i,-0.5268082002452065,-12.460447732275268
3.4000000000000004,5.044688247755429+1.960706090368034E-6i,-46.75306012328059,-11.769306267164168
3.6,3.518033243199865-4.5021603428923714E-6i,-0.6968925210266558,-12.470952238304662
3.6,3.737828385995531+2.804089421009895E-7i,-47.83840985116238,-12.06625333521443
3.6,4.103439935978632+4.655969465356818E-6i,-48.09729209150385,-12.152319278535499
3.6,4.243922438362222-3.243221190773466E-7i,-1.0483611152615044,-12.500183121786963
3.6,4.421818376363563+4.199458243064482E-5i,-47.17898197663475,-11.921765829649848
3.6,4.519866798138572+7.289105860078667E-6i,-46.52533214148369,-11.726141733864289
3.6,4.834326854745795-1.938402114677136E-5i,-0.7000722120371761,-12.20015660404353
3.6,4.914591647667462+2.7212421219274567E-6i,-45.869398461440106,-11.576143084647699
3.8000000000000003,3.4641288088566+5.6985661800934494E-6i,-0.7014299202485782,-12.16379391342036
3.8000000000000003,3.7381676966239272+1.4482760117468377E-6i,-46.53105096544562,-11.747149005871634
3.8000000000000003,4.0502239453568984+4.595386290103914E-6i,-47.27456002124205,-11.948302512842332
3.8000000000000003,4.14394243319995+4.947772064915076E-6i,-1.0299575983120575,-12.31306685854109
3.8000000000000003,4.2529448130826175-4.320736775072487E-6i,-44.952427490697474,-11.359130912009732
3.8000000000000003,4.469993350001934-1.6562614454633127E-7i,-46.44378953008178,-11.708923162541367
3.8000000000000003,4.683821017678347-8.204630541878572E-6i,-0.6031015014959524,-12.200647805784715
3.8000000000000003,4.808880488984266+1.5036767596433298E-7i,-47.48808436405264,-11.96363286598933
4,3.414760537467275+4.79804181329707E-6i,-0.7212792162150243,-11.877390729440908
4,3.7335641973558884+4.466023242092946E-7i,-46.3222171219203,-11.712206419072846
4,4.000758593279622-4.214789912815828E-6i,-47.051297530260626,-11.91541010844937
4,4.053417934604282-3.3443083632850167E-6i,-1.1315624476166555,-12.133879978521081
4,4.106898381576665+1.2003516668835504E-5i,-45.19633976261467,-11.40995053749002
4,4.422878900376259+1.3778444467984353E-7i,-46.30990952968763,-11.69081472205752
4,4.552318081207506+4.403373522641103E-6i,-0.6487716966643046,-12.183426692213738
4,4.716182083348267-2.1230330124937827E-6i,-46.99516092850451,-11.844223428880284
4.2,3.37468484773259+8.780161438046176E-6i,-0.7726624990741359,-12.283060232818102
